GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
1050,INTERNATIONAL CONFERENCE ON HARMONICS AND QUALITY OF POWER,ICHQP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],37,778,C,37,778,C,"6,6",1150,D,"6,6",1150,D,1710,11291,1710,11291,,,,,,,,,,,,,,,,,,,1
1051,IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION,ICIA,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",33,918,C,33,918,C,"3,19",1767,D,"3,19",1767,D,5151,16410,5151,16410,,,,,,,,,,,,,,,,,NC,NC,2
1052,INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING,ICIAP,3,B,"CORE:NC, LiveSHINE:B, MA:B","B, B, NC","CORE:[NC], LiveSHINE:[B|D], MA:[B|C]",46,540,B,46,540,B,"7,58",1017,C,"7,58",1017,C,2155,16335,2155,16335,29,448,B,29,448,B,"6,5",674,D,"6,5",674,D,803,5223,803,5223,NC,NC,3
1053,INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND RECOGNITION,ICIAR,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",36,810,C,36,810,C,"5,65",1321,D,"5,65",1321,D,1811,10224,1811,10224,,,,,,,,,,,,,,,,,C,C,2
1054,INTERNATIONAL CONFERENCE ON INTELLIGENT AND ADVANCED SYSTEMS,ICIAS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"4,62",1515,D,"4,62",1515,D,843,3891,843,3891,,,,,,,,,,,,,,,,,,,1
1055,INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING,ICIC,Work in Progress,Work in Progress,MA:B,B,MA:[B|D],46,540,B,46,540,B,"2,62",1856,D,"2,62",1856,D,11246,29463,11246,29463,,,,,,,,,,,,,,,,,,,1
1056,INTERNATIONAL CONFERENCE ON INFORMATION COMPUTING AND APPLICATIONS,ICICA,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,8,983,C,8,983,C,"0,82",1021,D,"0,82",1021,D,688,561,688,561,,,1
1057,INTERNATIONAL CONFERENCE ON IC DESIGN AND TECHNOLOGY,ICICDT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"4,18",1594,D,"4,18",1594,D,893,3729,893,3729,,,,,,,,,,,,,,,,,,,1
1058,INTERNATIONAL CONFERENCE ON INFORMATION COMMUNICATION AND EMBEDDED SYSTEMS,ICICES,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"3,04",1793,D,"3,04",1793,D,891,2705,891,2705,,,,,,,,,,,,,,,,,,,1
1059,"INTERNATIONAL CONFERENCE ON INNOVATIVE COMPUTING, INFORMATION AND CONTROL",ICICIC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],29,1098,C,29,1098,C,"3,6",1694,D,"3,6",1694,D,2145,7713,2145,7713,,,,,,,,,,,,,,,,,,,1
1060,INTERNATIONAL CONFERENCE ON INTELLIGENT CONTROL AND INFORMATION PROCESSING,ICICIP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"2,25",1910,D,"2,25",1910,D,1299,2925,1299,2925,,,,,,,,,,,,,,,,,,,1
1061,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION SECURITY,ICICS,3,B,"CORE:B, LiveSHINE:B, MA:B","B, B, B","CORE:[B], LiveSHINE:[B|B-], MA:[B|D]",53,420,B,53,420,B,"6,77",1127,D,"6,77",1127,D,2195,14851,2195,14851,29,448,B,29,448,B,"10,31",439,B-,"10,31",439,B-,390,4020,390,4020,B,B,3
1062,INTERNATIONAL CONFERENCE ON INTERNET COMPUTING IN SCIENCE AND ENGINEERING,ICICSE,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
1063,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES,ICICT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],36,810,C,36,810,C,"3,31",1735,D,"3,31",1735,D,4126,13676,4126,13676,,,,,,,,,,,,,,,,,,,1
1064,INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTATION TECHNOLOGY AND AUTOMATION,ICICTA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"2,01",1938,D,"2,01",1938,D,3859,7758,3859,7758,,,,,,,,,,,,,,,,,,,1
1065,INTERNATIONAL CONFERENCE ON INTERACTIVE DIGITAL STORYTELLING,ICIDS,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B-, MA:C","B-, C, C","CORE:[C], LiveSHINE:[B-|D], MA:[C|D]",25,1356,C,25,1356,C,"4,8",1473,D,"4,8",1473,D,610,2930,610,2930,22,636,B-,22,636,B-,"6,23",702,D,"6,23",702,D,329,2051,329,2051,C,C,3
1066,CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS,ICIEA,Work in Progress,Work in Progress,MA:B-,B-,MA:[B-|D],42,633,B-,42,633,B-,"3,24",1756,D,"3,24",1756,D,7363,23841,7363,23841,,,,,,,,,,,,,,,,,,,1
1067,INTERNATIONAL CONFERENCE ON INFORMATICS EDUCATION AND RESEARCH,ICIER,Work in Progress,Work in Progress,LiveSHINE:A-,A-,LiveSHINE:[B|A],,,,,,,,,,,,,,,,,39,285,B,39,285,B,"21,48",162,A,"21,48",162,A,255,5478,255,5478,,,1
1068,"INTERNATIONAL CONFERENCE ON INFORMATICS, ELECTRONICS AND VISION",ICIEV,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"3,59",1697,D,"3,59",1697,D,1280,4595,1280,4595,,,,,,,,,,,,,,,,,,,1
1069,INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS,ICIG,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:B, MA:C","B, C, NC","CORE:[NC], LiveSHINE:[B|D], MA:[C|D]",33,918,C,33,918,C,"4,35",1563,D,"4,35",1563,D,1660,7217,1660,7217,25,536,B,25,536,B,"5,33",770,D,"5,33",770,D,733,3906,733,3906,NC,NC,3
1070,INTERNATIONAL CONFERENCE ON INTELLIGENT INFORMATION PROCESSING,ICIIP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"3,13",1780,D,"3,13",1780,D,1685,5282,1685,5282,,,,,,,,,,,,,,,,,,,1
1071,INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS,ICIIS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"3,53",1700,D,"3,53",1700,D,2165,7650,2165,7650,,,,,,,,,,,,,,,,,,,1
1072,IEEE INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT AND ENGINEERING,ICIME,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"1,94",1948,D,"1,94",1948,D,1663,3224,1663,3224,,,,,,,,,,,,,,,,,,,1
1073,INTERNATIONAL CONFERENCE ON INTERNET MONITORING AND PROTECTION,ICIMP,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|C]",20,1779,C,20,1779,C,"9,82",783,C,"9,82",783,C,143,1404,143,1404,,,,,,,,,,,,,,,,,C,C,2
1074,"CONFERENCE ON INNOVATION IN CLOUDS, INTERNET AND NETWORKS",ICIN,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
1075,"INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS",ICINCO,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",24,1428,C,24,1428,C,"1,99",1942,D,"1,99",1942,D,3077,6119,3077,6119,,,,,,,,,,,,,,,,,C,C,2
1076,INTERNATIONAL CONFERENCE INFORMATION PROCESSING,ICINPRO,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],39,706,C,39,706,C,"5,72",1309,D,"5,72",1309,D,2037,11646,2037,11646,,,,,,,,,,,,,,,,,,,1
1077,IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING,ICIP,2,A-,"CORE:B, LiveSHINE:A, MA:A+","A+, A, B","CORE:[B], LiveSHINE:[A+|C], MA:[A+|A++]",152,53,A+,152,53,A+,"73,44",22,A++,"73,44",22,A++,2000,146873,2000,146873,85,57,A+,85,57,A+,"9,29",497,C,"9,29",497,C,8171,75921,8171,75921,B,B,3
1078,INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTICS AND APPLICATIONS,ICIRA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"2,23",1913,D,"2,23",1913,D,2137,4756,2137,4756,,,,,,,,,,,,,,,,,,,1
1079,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS,ICIS,2,A-,"LiveSHINE:A-, MA:A-","A-, A-","LiveSHINE:[A|D], MA:[A|D]",96,139,A,96,139,A,"5,66",1318,D,"5,66",1318,D,15110,85491,15110,85491,48,190,A,48,190,A,"6,29",694,D,"6,29",694,D,2655,16690,2655,16690,,,2
1080,INTERNATIONAL CONFERENCE ON INFORMATION SCIENCE AND APPLICATIONS,ICISA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"3,34",1729,D,"3,34",1729,D,812,2712,812,2712,,,,,,,,,,,,,,,,,,,1
1081,INTERNATIONAL CONFERENCE ON INFORMATION SECURITY AND CRYPTOLOGY,ICISC,Work in Progress,Work in Progress,"CORE:NC, MA:B","B, NC","CORE:[NC], MA:[B|C]",49,474,B,49,474,B,"9,68",800,C,"9,68",800,C,1184,11460,1184,11460,,,,,,,,,,,,,,,,,NC,NC,2
1082,INTERNATIONAL CONFERENCE ON INFORMATICS AND SEMIOTICS IN ORGANISATIONS,ICISO,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,5,1011,C,5,1011,C,"1,1",1013,D,"1,1",1013,D,115,126,115,126,,,1
1083,INTERNATIONAL CONFERENCE ON IMAGE AND SIGNAL PROCESSING,ICISP,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",21,1676,C,21,1676,C,"4,94",1447,D,"4,94",1447,D,572,2825,572,2825,,,,,,,,,,,,,,,,,C,C,2
1084,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY,ICISS,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:B, MA:C","B, C, NC","CORE:[NC], LiveSHINE:[B|B-], MA:[C|D]",31,1006,C,31,1006,C,"3,92",1635,D,"3,92",1635,D,1859,7292,1859,7292,24,572,B,24,572,B,"10,01",459,B-,"10,01",459,B-,276,2763,276,2763,NC,NC,3
1085,INTERNATIONAL CONFERENCE ON INFORMATION SYSTEMS SECURITY AND PRIVACY,ICISSP,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
1086,IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL TECHNOLOGY,ICIT,Work in Progress,Work in Progress,"LiveSHINE:C, MA:B","B, C","LiveSHINE:[C|D], MA:[B|D]",57,373,B,57,373,B,"3,59",1696,D,"3,59",1696,D,12273,44067,12273,44067,19,725,C,19,725,C,"5,78",742,D,"5,78",742,D,258,1491,258,1491,,,2
1087,INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS,ICITA,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",25,1356,C,25,1356,C,"4,99",1437,D,"4,99",1437,D,625,3121,625,3121,,,,,,,,,,,,,,,,,NC,NC,2
1088,IEEE INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND APPLICATIONS IN BIOMEDICINE,ICITAB,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"6,11",1259,D,"6,11",1259,D,793,4845,793,4845,,,,,,,,,,,,,,,,,,,1
1089,INTERNATIONAL CONFERENCE ON INFORMATION THEORETIC SECURITY,ICITS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"5,69",1312,D,"5,69",1312,D,266,1514,266,1514,,,,,,,,,,,,,,,,,,,1
1090,INTERNATIONAL CONFERENCE FOR INTERNET TECHNOLOGY AND SECURED TRANSACTIONS,ICITST,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"4,2",1588,D,"4,2",1588,D,1283,5389,1283,5389,,,,,,,,,,,,,,,,,,,1
1091,INTERNATIONAL CONFERENCE ON INTERNET AND WEB APPLICATIONS AND SERVICES,ICIW,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|C]",26,1289,C,26,1289,C,"8,04",968,C,"8,04",968,C,509,4094,509,4094,,,,,,,,,,,,,,,,,C,C,2
1092,INTERNATIONAL CONFERENCE ON LOCALIZATION AND GNSS,ICL-GNSS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"5,66",1319,D,"5,66",1319,D,287,1623,287,1623,,,,,,,,,,,,,,,,,,,1
1093,INTERNATIONAL CONFERENCE ON LEARNING REPRESENTATIONS,ICLR,1,A++,"CORE:A++, MA:A++","A++, A++","CORE:[A++], MA:[A++|A++]",184,33,A++,184,33,A++,"67,51",30,A++,"67,51",30,A++,3446,232650,3446,232650,,,,,,,,,,,,,,,,,A++,A++,2
1094,INTERNATIONAL CONFERENCE OF LEARNING SCIENCES,ICLS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],32,963,C,32,963,C,"4,76",1481,D,"4,76",1481,D,1557,7411,1557,7411,,,,,,,,,,,,,,,,,,,1
1095,INTERNATIONAL CONFERENCE ON MECHATRONICS AND AUTOMATION,ICMA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],41,654,C,41,654,C,"3,49",1704,D,"3,49",1704,D,7536,26320,7536,26320,,,,,,,,,,,,,,,,,,,1
1096,INTERNATIONAL CONFERENCE ON MOBILE BUSINESS,ICMB,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],35,844,C,35,844,C,"10,42",729,B-,"10,42",729,B-,598,6232,598,6232,,,,,,,,,,,,,,,,,,,1
1097,INTERNATIONAL COMPUTER MUSIC CONFERENCE,ICMC,3,B,"LiveSHINE:B, MA:B","B, B","LiveSHINE:[B|D], MA:[B|D]",62,327,B,62,327,B,"5,21",1395,D,"5,21",1395,D,5533,28813,5533,28813,28,474,B,28,474,B,"6,16",708,D,"6,16",708,D,707,4354,707,4354,,,2
1098,IEEE INTERNATIONAL CONFERENCE ON MULTIMEDIA AND EXPO,ICME,2,A-,"CORE:A, LiveSHINE:A-, MA:A-","A, A-, A-","CORE:[A], LiveSHINE:[A|C], MA:[A|C]",94,145,A,"63, 94","145, 313","B, A","9,66",666,B-,"11,31, 9,66","666, 803","C, B-",9056,87494,"1813, 9056","20501, 87494",62,113,A,62,113,A,"9,73",470,C,"9,73",470,C,3887,37817,3887,37817,A,A,4
1099,INTERNATIONAL CONFERENCE ON MULTIMODAL INTERFACES,ICMI,2,A-,"CORE:B, LiveSHINE:A, MA:A-","A, A-, B","CORE:[B], LiveSHINE:[A|B], MA:[A-|A-]",79,212,A-,79,212,A-,"17,84",365,A-,"17,84",365,A-,1707,30452,1707,30452,49,179,A,49,179,A,"15,24",285,B,"15,24",285,B,808,12311,808,12311,B,B,3
1100,INTERNATIONAL CONFERENCE ON MANAGEMENT OF INNOVATION AND TECHNOLOGY,ICMIT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"2,95",1809,D,"2,95",1809,D,1236,3643,1236,3643,,,,,,,,,,,,,,,,,,,1
1101,INTERNATIONAL CONFERENCE ON MACHINE LEARNING,ICML,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++]",318,5,A++,318,5,A++,"56,89",44,A++,"56,89",44,A++,9539,542629,9539,542629,159,6,A++,159,6,A++,"63,08",23,A++,"63,08",23,A++,1655,104405,1655,104405,A++,A++,3
1102,INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS,ICMLA,3,B-,"CORE:C, LiveSHINE:B, MA:B","B, B, C","CORE:[C], LiveSHINE:[B|D], MA:[B|D]",45,564,B,45,564,B,"6,16",1246,D,"6,16",1246,D,2860,17616,2860,17616,28,474,B,28,474,B,"5,19",782,D,"5,19",782,D,979,5079,979,5079,C,C,3
1103,INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS,ICMLC,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:C, MA:B","B, C, NC","CORE:[NC], LiveSHINE:[C|D], MA:[B|D]",53,420,B,53,420,B,"4,21",1585,D,"4,21",1585,D,8761,36846,8761,36846,19,725,C,19,725,C,"2,25",974,D,"2,25",974,D,2062,4631,2062,4631,NC,NC,3
1104,INTERNATIONAL CONFERENCE ON MICROWAVE AND MILLIMETER WAVE TECHNOLOGY,ICMMT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"1,51",1977,D,"1,51",1977,D,4897,7388,4897,7388,,,,,,,,,,,,,,,,,,,1
1105,ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA RETRIEVAL,ICMR,2,A-,"CORE:B, LiveSHINE:A, MA:A-","A, A-, B","CORE:[B], LiveSHINE:[A|A+], MA:[B|A++]",54,411,B,"46, 54","411, 540","B, B","28,51",172,A++,"11,4, 28,51","172, 658","B-, A++",863,16224,"569, 863","9842, 16224",63,107,A,63,107,A,"23,32",148,A+,"23,32",148,A+,1097,25579,1097,25579,B,B,4
1106,INTERNATIONAL CONGRESS ON MATHEMATICAL SOFTWARE,ICMS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],26,1289,C,26,1289,C,"4,86",1464,D,"4,86",1464,D,799,3884,799,3884,,,,,,,,,,,,,,,,,,,1
1107,INTERNATIONAL CONFERENCE ON MODEL TRANSFORMATION,ICMT,3,B-,"CORE:B, LiveSHINE:A-, MA:C","A-, B, C","CORE:[B], LiveSHINE:[B|A], MA:[C|D]",31,1006,C,31,1006,C,"2,38",1887,D,"2,38",1887,D,3097,7360,3097,7360,26,511,B,26,511,B,"18,67",211,A,"18,67",211,A,137,2558,137,2558,B,B,3
1108,INTERNATIONAL CONFERENCE ON MEASURING TECHNOLOGY AND MECHATRONICS AUTOMATION,ICMTMA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"1,63",1970,D,"1,63",1970,D,4261,6950,4261,6950,,,,,,,,,,,,,,,,,,,1
1109,INTERNATIONAL CONFERENCE ON MICROELECTRONIC TEST STRUCTURES,ICMTS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],31,1006,C,31,1006,C,"4,91",1452,D,"4,91",1452,D,1546,7597,1546,7597,,,,,,,,,,,,,,,,,,,1
1110,INTERNATIONAL CONFERENCE ON MACHINE VISION,ICMV,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",23,1503,C,23,1503,C,"2,3",1897,D,"2,3",1897,D,1787,4111,1787,4111,,,,,,,,,,,,,,,,,C,C,2
1111,INTERNATIONAL CONFERENCE ON NETWORKING,ICN,3,B,"LiveSHINE:A, MA:B","A, B","LiveSHINE:[A|B], MA:[B|D]",51,446,B,51,446,B,"5,52",1341,D,"5,52",1341,D,3197,17636,3197,17636,48,190,A,48,190,A,"12,3",365,B,"12,3",365,B,889,10937,889,10937,,,2
1112,INTERNATIONAL CONFERENCE ON NATURAL COMPUTATION,ICNC,3,B-,"CORE:NC, LiveSHINE:B, MA:B-","B, B-, NC","CORE:[NC], LiveSHINE:[B|D], MA:[B-|D]",43,613,B-,43,613,B-,"3,21",1760,D,"3,21",1760,D,7259,23298,7259,23298,27,491,B,27,491,B,"2,38",966,D,"2,38",966,D,3237,7699,3237,7699,NC,NC,3
1113,INTERNATIONAL CONFERENCE NATURAL LANGUAGE PROCESSING,ICNLP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],36,810,C,36,810,C,"4,54",1527,D,"4,54",1527,D,1974,8963,1974,8963,,,,,,,,,,,,,,,,,,,1
1114,IEEE INTERNATIONAL CONFERENCE ON NEURAL NETWORKS,ICNN,Work in Progress,Work in Progress,LiveSHINE:B,B,LiveSHINE:[B|D],,,,,,,,,,,,,,,,,26,511,B,26,511,B,"0,92",1020,D,"0,92",1020,D,5656,5222,5656,5222,,,1
1115,INTERNATIONAL CONFERENCE ON NEURAL NETWORKS AND BRAIN,ICNNB,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"5,8",1301,D,"5,8",1301,D,437,2533,437,2533,,,,,,,,,,,,,,,,,,,1
1116,INTERNATIONAL CONFERENCE ON NETWORK PROTOCOLS,ICNP,2,A,"CORE:A, LiveSHINE:A, MA:A+","A+, A, A","CORE:[A], LiveSHINE:[A|A], MA:[A|A++]",92,156,A,92,156,A,"27,35",186,A++,"27,35",186,A++,1364,37308,1364,37308,57,142,A,57,142,A,"21,81",160,A,"21,81",160,A,513,11188,513,11188,A,A,3
1117,INTERNATIONAL CONFERENCE ON NETWORKING AND SERVICES,ICNS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"3,37",1724,D,"3,37",1724,D,1912,6438,1912,6438,,,,,,,,,,,,,,,,,,,1
1118,"IEEE INTL NETWORKING, SENSING AND CONTROL",ICNSC,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|D], MA:[C|D]",39,706,C,39,706,C,"5,48",1353,D,"5,48",1353,D,2536,13892,2536,13892,24,572,B,24,572,B,"4,49",833,D,"4,49",833,D,1213,5448,1213,5448,,,2
1119,INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING,ICOAC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],33,918,C,33,918,C,"3,76",1659,D,"3,76",1659,D,3141,11803,3141,11803,,,,,,,,,,,,,,,,,,,1
1120,INTERNATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING,ICOBE,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"2,03",1936,D,"2,03",1936,D,1641,3325,1641,3325,,,,,,,,,,,,,,,,,,,1
1121,INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATICS,ICOCI,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
1122,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY,ICOICT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"2,28",1902,D,"2,28",1902,D,3714,8462,3714,8462,,,,,,,,,,,,,,,,,,,1
1123,INTERNATIONAL CONFERENCE ON INFORMATION NETWORKING,ICOIN,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|D], MA:[C|D]",36,810,C,36,810,C,"4,03",1620,D,"4,03",1620,D,2808,11311,2808,11311,24,572,B,24,572,B,"4,75",813,D,"4,75",813,D,1030,4896,1030,4896,,,2
1124,IEEE INTERNATIONAL CONFERENCE ON NETWORKS,ICON,Not Rated,Not Rated (discontinued event),"LiveSHINE:C, MA:B","B, C","LiveSHINE:[C|D], MA:[B|B]",46,540,B,46,540,B,"12,07",616,B,"12,07",616,B,3645,43987,3645,43987,20,700,C,20,700,C,"5,57",755,D,"5,57",755,D,334,1860,334,1860,,,2
1125,INTERNATIONAL CONFERENCE ON NEURAL INFORMATION PROCESSING,ICONIP,3,B,"CORE:B, MA:B","B, B","CORE:[B], MA:[B|D]",52,434,B,52,434,B,"4,32",1568,D,"4,32",1568,D,7033,30354,7033,30354,,,,,,,,,,,,,,,,,B,B,2
1126,INTERNATIONAL CONFERENCE ON SYSTEMS,ICONS,Work in Progress,Work in Progress,"LiveSHINE:B-, MA:C","B-, C","LiveSHINE:[B-|D], MA:[C|D]",37,778,C,37,778,C,"2,58",1864,D,"2,58",1864,D,6362,16436,6362,16436,22,636,B-,22,636,B-,"5,13",787,D,"5,13",787,D,428,2195,428,2195,,,2
1127,INTERNATIONAL CONFERENCE ON PLASMA SCIENCE,ICOPS,Work in Progress,Work in Progress,MA:B,B,MA:[B|D],46,540,B,46,540,B,"0,92",1999,D,"0,92",1999,D,15209,14030,15209,14030,,,,,,,,,,,,,,,,,,,1
1128,INTERNATIONAL CONFERENCE ON OPERATIONS RESEARCH AND ENTERPRISE SYSTEMS,ICORES,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
1129,IEEE INTERNATIONAL CONFERENCE ON REHABILITATION ROBOTICS,ICORR,Work in Progress,Work in Progress,MA:B,B,MA:[B|B],50,460,B,50,460,B,"13,61",518,B,"13,61",518,B,1076,14645,1076,14645,,,,,,,,,,,,,,,,,,,1
1130,INTERNATIONAL CONFERENCE ON SMART HOMES AND HEALTH TELEMATICS,ICOST,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",25,1356,C,25,1356,C,"5,54",1340,D,"5,54",1340,D,566,3135,566,3135,,,,,,,,,,,,,,,,,C,C,2
1131,INTERNATIONAL CONFERENCE ON OPTIMIZATION: TECHNIQUES AND APPLICATIONS,ICOTA,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
1132,IEEE INTERNATIONAL CONFERENCE ON PROPERTIES AND APPLICATIONS OF DIELECTRIC MATERIALS,ICPADM,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"3,36",1725,D,"3,36",1725,D,2826,9509,2826,9509,,,,,,,,,,,,,,,,,,,1
