GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
39,ACM SOUTHEAST REGIONAL CONFERENCE,ACMSE,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],34,876,C,34,876,C,"3,72",1667,D,"3,72",1667,D,2258,8400,2258,8400,,,,,,,,,,,,,,,,,,,1
40,INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,ACNS,2,A-,"CORE:B, LiveSHINE:A, MA:A-","A, A-, B","CORE:[B], LiveSHINE:[A-|A+], MA:[B|A]",57,373,B,57,373,B,"21,82",269,A,"21,82",269,A,652,14225,652,14225,46,209,A-,46,209,A-,"23,61",146,A+,"23,61",146,A+,355,8381,355,8381,B,B,3
41,ASIAN CONFERENCE ON PATTERN RECOGNITION,ACPR,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"3,71",1670,D,"3,71",1670,D,811,3009,811,3009,,,,,,,,,,,,,,,,,,,1
42,AUSTRALASIAN CONFERENCE ON ROBOTICS AND AUTOMATION,ACRA,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
43,CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY,ACRI,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",29,1098,C,29,1098,C,"4,2",1589,D,"4,2",1589,D,1108,4649,1108,4649,18,758,C,18,758,C,"4,67",822,D,"4,67",822,D,405,1891,405,1891,,,2
44,IEEE INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS,ACS,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],28,1170,C,28,1170,C,"10,87",696,B-,"10,87",696,B-,263,2859,263,2859,,,,,,,,,,,,,,,,,,,1
45,ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE,ACSAC,2,A,"CORE:NC, LiveSHINE:A+, MA:A+","A+, A+, NC","CORE:[NC], LiveSHINE:[A|A++], MA:[A|A++]",101,126,A,101,126,A,"28,62",171,A++,"28,62",171,A++,1580,45213,1580,45213,64,104,A,64,104,A,"30,85",95,A++,"30,85",95,A++,497,15330,497,15330,NC,NC,3
46,INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN,ACSD,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|B-], MA:[C|C]",28,1170,C,28,1170,C,"9,27",837,C,"9,27",837,C,443,4108,443,4108,25,536,B,25,536,B,"10,88",413,B-,"10,88",413,B-,257,2796,257,2796,B,B,3
47,"ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS",ACSSC,Work in Progress,Work in Progress,"CORE:NC, MA:A-","A-, NC","CORE:[NC], MA:[A|C]",102,125,A,102,125,A,"8,74",890,C,"8,74",890,C,11615,101491,11615,101491,,,,,,,,,,,,,,,,,NC,NC,2
48,INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES,ADA-EUROPE,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|D], MA:[C|D]",23,1503,C,23,1503,C,"4,89",1458,D,"4,89",1458,D,754,3689,754,3689,17,800,C,17,800,C,"6,97",645,D,"6,97",645,D,191,1332,191,1332,B,B,3
